id_resep,nama_resep,bahan_utama,bahan_lengkap
89,Martabak Telur Sederhana,"Telur, Daun Bawang, Bawang Bombay, Garam, Minyak","4 butir Telur, 2 batang Daun Bawang (iris halus), 1 buah Bawang Bombay (cincang halus), 1 sdt Garam, 3 sdm Minyak"
90,Tumis Kembang Kol,"Kembang Kol, Bawang Putih, Bawang Bombay, Saus Tiram, Kecap Asin, Garam, Minyak","1 buah Kembang Kol (potong kuntum), 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 1 sdt Garam, 2 sdm Minyak"
91,Nasi Goreng Hongkong,"Nasi, Telur, Udang, Kacang Polong, Wortel, Bawang Bombay, Bawang Putih, Kecap Asin, Saus Tiram, Minyak","2 piring Nasi, 2 butir Telur, 150g Udang (kupas), 100g Kacang Polong, 1 buah Wortel (potong dadu kecil), 1 buah Bawang Bombay (cincang), 4 siung Bawang Putih (cincang), 1 sdm Kecap Asin, 1 sdm Saus Tiram, 2 sdm Minyak"
92,Udang Asam Manis,"Udang, Tomat, Bawang Bombay, Bawang Putih, Cabai Merah, Gula, Kecap Asin, Minyak","300g Udang (kupas), 1 buah Tomat (potong), 1 buah Bawang Bombay (iris), 4 siung Bawang Putih (cincang), 2 buah Cabai Merah (iris), 2 sdt Gula, 1 sdm Kecap Asin, 2 sdm Minyak"
93,Cumi Cabai Hijau,"Cumi Cumi, Cabai Hijau, Bawang Merah, Bawang Putih, Serai, Garam, Minyak","400g Cumi Cumi (cincin), 6 buah Cabai Hijau (iris serong), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 1 batang Serai (geprek), 1 sdt Garam, 2 sdm Minyak"
94,Ayam Goreng Bawang Putih,"Ayam, Bawang Putih, Garam, Minyak","500g Ayam (potong 8), 6 siung Bawang Putih (haluskan), 1 sdt Garam, Minyak secukupnya"
95,Egg Roll Ayam,"Telur, Ayam, Daun Bawang, Bawang Putih, Wortel, Garam, Minyak","4 butir Telur, 150g Ayam (cincang halus), 1 batang Daun Bawang (iris halus), 2 siung Bawang Putih (haluskan), 1 buah Wortel (parut halus), 1 sdt Garam, 2 sdm Minyak"
96,Nasi Kuning,"Nasi, Santan, Kunyit, Serai, Lengkuas, Daun Salam, Garam","2 cangkir Beras (cuci tiriskan), 400ml Santan, 1 sdt Kunyit bubuk, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Garam"
97,Nasi Liwet,"Nasi, Santan, Serai, Daun Salam, Bawang Merah, Bawang Putih, Garam","2 cangkir Beras (cuci tiriskan), 400ml Santan, 1 batang Serai (geprek), 2 lembar Daun Salam, 3 buah Bawang Merah (iris), 2 siung Bawang Putih (iris), 1 sdt Garam"
98,Ayam Ungkep,"Ayam, Bawang Merah, Bawang Putih, Kemiri, Kunyit, Lengkuas, Daun Salam, Serai, Garam","1 ekor Ayam (potong 8), 5 buah Bawang Merah, 4 siung Bawang Putih, 3 butir Kemiri, 1 sdt Kunyit bubuk, 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 batang Serai (geprek), 1 sdt Garam"
99,Tongseng Daging,"Daging Sapi, Bawang Merah, Bawang Putih, Jahe, Serai, Lengkuas, Daun Salam, Santan, Kecap Manis, Cabai Merah, Garam, Minyak","400g Daging Sapi (potong kotak), 5 buah Bawang Merah (iris), 4 siung Bawang Putih (iris), 2 cm Jahe (geprek), 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 200ml Santan, 2 sdm Kecap Manis, 3 buah Cabai Merah (iris), 1 sdt Garam, 2 sdm Minyak"
100,Daging Kecap Cabai Hijau,"Daging Sapi, Cabai Hijau, Bawang Merah, Bawang Putih, Kecap Manis, Gula, Garam, Minyak","400g Daging Sapi (iris tipis), 6 buah Cabai Hijau (iris serong), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 sdm Kecap Manis, 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
101,Opor Tahu Tempe,"Tahu, Tempe, Santan, Bawang Merah, Bawang Putih, Kemiri, Serai, Lengkuas, Daun Salam, Kunyit, Garam","4 buah Tahu (potong kotak), 1 papan Tempe (potong kotak), 500ml Santan, 5 buah Bawang Merah, 4 siung Bawang Putih, 3 butir Kemiri, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Kunyit bubuk, 1 sdt Garam"
102,Opor Telur,"Telur, Santan, Bawang Merah, Bawang Putih, Kemiri, Serai, Lengkuas, Daun Salam, Kunyit, Garam","6 butir Telur (rebus kupas), 500ml Santan, 5 buah Bawang Merah, 4 siung Bawang Putih, 3 butir Kemiri, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Kunyit bubuk, 1 sdt Garam"
103,Udang Goreng Mentega,"Udang, Mentega, Bawang Putih, Bawang Bombay, Lada Hitam, Garam","300g Udang (kupas bersihkan), 3 sdm Mentega, 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 0.5 sdt Lada Hitam, 1 sdt Garam"
104,Mie Tek Tek,"Mie, Telur, Ayam, Daun Bawang, Bawang Putih, Kecap Manis, Saus Tiram, Kaldu Bubuk, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 2 butir Telur, 100g Ayam (potong dadu), 1 batang Daun Bawang (iris), 4 siung Bawang Putih (cincang), 1 sdm Kecap Manis, 1 sdm Saus Tiram, 1 sdt Kaldu Bubuk, 1 sdt Garam, 2 sdm Minyak"
105,Mie Goreng Jawa,"Mie, Telur, Tahu, Bawang Merah, Bawang Putih, Cabai Merah, Kecap Manis, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 2 butir Telur, 2 buah Tahu (potong dadu goreng), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 3 buah Cabai Merah (iris), 2 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
106,Sambal Bawang Tomat,"Cabai Merah, Tomat, Bawang Merah, Bawang Putih, Garam, Minyak","8 buah Cabai Merah, 2 buah Tomat (potong), 4 buah Bawang Merah, 3 siung Bawang Putih, 1 sdt Garam, 2 sdm Minyak"
107,Sambal Hijau,"Cabai Hijau, Bawang Merah, Bawang Putih, Garam, Minyak","10 buah Cabai Hijau, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 sdt Garam, 2 sdm Minyak"
108,Sambal Balado,"Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Gula, Garam, Minyak","10 buah Cabai Merah, 5 buah Bawang Merah, 4 siung Bawang Putih, 1 buah Tomat, 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
109,Sambal Kecap,"Cabai Merah, Bawang Merah, Kecap Manis, Tomat","5 buah Cabai Merah (iris tipis), 3 buah Bawang Merah (iris tipis), 3 sdm Kecap Manis, 1 buah Tomat (potong dadu)"
110,Sambal Dabu Dabu,"Cabai Merah, Tomat, Bawang Merah, Garam, Minyak","5 buah Cabai Merah (iris tipis), 2 buah Tomat (potong dadu), 4 buah Bawang Merah (iris tipis), 1 sdt Garam, 2 sdm Minyak panas"
111,Sambal Matah,"Cabai Merah, Bawang Merah, Serai, Daun Salam, Garam, Minyak","6 buah Cabai Merah (iris tipis), 6 buah Bawang Merah (iris tipis), 2 batang Serai (iris tipis bagian putihnya), 2 lembar Daun Salam (iris tipis), 1 sdt Garam, 2 sdm Minyak panas"
112,Sambal Kemiri,"Kemiri, Cabai Merah, Bawang Merah, Bawang Putih, Garam, Minyak","6 butir Kemiri (sangrai), 8 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 sdt Garam, 2 sdm Minyak"
113,Semur Telur,"Telur, Kecap Manis, Bawang Bombay, Bawang Putih, Tomat, Gula, Garam, Minyak","6 butir Telur (rebus kupas), 3 sdm Kecap Manis, 1 buah Bawang Bombay (iris), 3 siung Bawang Putih (cincang), 1 buah Tomat (potong), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
114,Telur Pindang,"Telur, Bawang Merah, Daun Salam, Garam","6 butir Telur, 6 buah Bawang Merah (iris), 4 lembar Daun Salam, 1 sdt Garam"
115,Orak Arik Telur Tomat,"Telur, Tomat, Bawang Merah, Bawang Putih, Daun Bawang, Garam, Minyak","3 butir Telur (kocok lepas), 2 buah Tomat (potong dadu), 3 buah Bawang Merah (iris), 2 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdt Garam, 2 sdm Minyak"
116,Cah Jamur Brokoli,"Jamur, Brokoli, Bawang Putih, Bawang Bombay, Saus Tiram, Kecap Asin, Kaldu Bubuk, Minyak","200g Jamur (iris), 1 buah Brokoli (potong kuntum), 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 1 sdt Kaldu Bubuk, 2 sdm Minyak"
117,Tumis Terong Bawang,"Terong, Bawang Merah, Bawang Putih, Cabai Merah, Kecap Manis, Garam, Minyak","2 buah Terong (potong bulat), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 3 buah Cabai Merah (iris serong), 1 sdm Kecap Manis, 1 sdt Garam, 3 sdm Minyak"
118,Acar Kuning,"Timun, Wortel, Bawang Merah, Kunyit, Gula, Garam","2 buah Timun (potong korek api), 1 buah Wortel (potong korek api), 4 buah Bawang Merah (iris tipis), 0.5 sdt Kunyit bubuk, 2 sdt Gula, 1 sdt Garam"
119,Perkedel Jagung,"Jagung, Telur, Daun Bawang, Bawang Putih, Garam, Minyak","2 buah Jagung (pipil atau serut), 2 butir Telur, 1 batang Daun Bawang (iris halus), 2 siung Bawang Putih (haluskan), 1 sdt Garam, Minyak secukupnya"
120,Tumis Labu Siam Telur,"Labu Siam, Telur, Bawang Putih, Bawang Merah, Garam, Minyak","2 buah Labu Siam (kupas potong korek api), 2 butir Telur (kocok lepas), 3 siung Bawang Putih (iris), 3 buah Bawang Merah (iris), 1 sdt Garam, 2 sdm Minyak"
121,Spaghetti Aglio Olio,"Spaghetti, Bawang Putih, Minyak, Lada Hitam, Garam","200g Spaghetti, 8 siung Bawang Putih (iris tipis), 4 sdm Minyak Zaitun atau Minyak biasa, 0.5 sdt Lada Hitam, 1 sdt Garam"
122,Spaghetti Bolognese,"Spaghetti, Daging Sapi, Tomat, Bawang Bombay, Bawang Putih, Garam, Minyak","200g Spaghetti, 250g Daging Sapi cincang, 3 buah Tomat (potong dadu atau haluskan), 1 buah Bawang Bombay (cincang), 4 siung Bawang Putih (cincang), 1 sdt Garam, 2 sdm Minyak"
123,Spaghetti Saus Tomat,"Spaghetti, Tomat, Bawang Bombay, Bawang Putih, Gula, Garam, Minyak","200g Spaghetti, 4 buah Tomat (haluskan), 1 buah Bawang Bombay (cincang), 4 siung Bawang Putih (cincang), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
124,Nasi Bakar,"Nasi, Ayam, Daun Bawang, Bawang Putih, Kecap Manis, Garam, Minyak","2 piring Nasi, 200g Ayam (suwir pedas), 2 batang Daun Bawang (iris), 3 siung Bawang Putih (cincang), 1 sdm Kecap Manis, 1 sdt Garam, 1 sdm Minyak"
125,Bubur Ayam Kuning,"Nasi, Ayam, Kunyit, Jahe, Bawang Putih, Daun Bawang, Kaldu Bubuk, Garam","1 cangkir Beras, 200g Ayam, 1 sdt Kunyit bubuk, 2 cm Jahe (geprek), 3 siung Bawang Putih (geprek), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
126,Cumi Goreng Mentega,"Cumi Cumi, Mentega, Bawang Putih, Lada Hitam, Garam","400g Cumi Cumi (cincin), 3 sdm Mentega, 4 siung Bawang Putih (cincang), 0.5 sdt Lada Hitam, 1 sdt Garam"
127,Kikil Saus Kecap,"Kikil, Kecap Manis, Bawang Putih, Bawang Merah, Jahe, Gula, Garam, Minyak","400g Kikil (rebus empuk potong), 3 sdm Kecap Manis, 4 siung Bawang Putih (cincang), 4 buah Bawang Merah (iris), 2 cm Jahe (geprek), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
128,Usus Balado,"Usus, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","300g Usus ayam (rebus bersihkan potong), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
129,Cumi Balado,"Cumi Cumi, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","400g Cumi Cumi (bersihkan cincin), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
130,Nasi Goreng Sapi,"Nasi, Daging Sapi, Telur, Bawang Putih, Bawang Merah, Kecap Manis, Garam, Minyak","2 piring Nasi, 200g Daging Sapi (iris tipis), 2 butir Telur, 4 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
131,Mie Goreng Seafood,"Mie, Udang, Cumi Cumi, Telur, Bawang Putih, Daun Bawang, Kecap Manis, Saus Tiram, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 150g Udang (kupas), 100g Cumi Cumi (cincin), 2 butir Telur, 4 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdm Kecap Manis, 1 sdm Saus Tiram, 1 sdt Garam, 2 sdm Minyak"
